2024-07-25 11:14:50,894 - Dash is running on http://127.0.0.1:8050/

2024-07-25 11:14:54,294 - [INFO] Querying understanding...
2024-07-25 11:15:18,285 - [INFO] Fetching stk quote...
2024-07-25 11:15:29,289 - [INFO] Run backtest...
2024-07-25 11:15:29,352 - [INFO] date 98, asset 0, trade_value 10155.044350000011
2024-07-25 11:15:29,352 - [INFO] date 98, asset 3, trade_value 2848.044350000011
2024-07-25 11:15:29,352 - [INFO] date 98, asset 5, trade_value 813.044350000011
2024-07-25 11:15:29,352 - [INFO] date 98, asset 11, trade_value 4633.044350000011
2024-07-25 11:15:29,353 - [INFO] date 98, asset 20, trade_value 1446.044350000011
2024-07-25 11:15:29,353 - [WARNIG] date 98, asset 25: only have cash of 4410.45400000014, partial traded!
2024-07-25 11:15:29,353 - [INFO] date 98, asset 25, trade_value 4410.45400000014
2024-07-25 11:15:29,361 - [INFO] date 118, asset 0, trade_value -119886.0...
2024-07-25 11:15:29,361 - [WARNIG] date 118, asset 2: only have position of 20300.0, partial traded!
2024-07-25 11:15:29,361 - [INFO] date 118, asset 2, trade_value -122003.0...
2024-07-25 11:15:29,362 - [INFO] date 118, asset 3, trade_value -108906.0...
2024-07-25 11:15:29,362 - [INFO] date 118, asset 5, trade_value -110000.0...
2024-07-25 11:15:29,362 - [INFO] date 118, asset 11, trade_value -105118.0...
2024-07-25 11:15:29,363 - [INFO] date 118, asset 12, trade_value -1168.0...
2024-07-25 11:15:29,363 - [INFO] date 118, asset 16, trade_value -772.0...
2024-07-25 11:15:29,363 - [INFO] date 118, asset 18, trade_value -115135.99999999999...
2024-07-25 11:15:29,363 - [INFO] date 118, asset 20, trade_value -112200.0...
2024-07-25 11:15:29,364 - [INFO] date 118, asset 25, trade_value -109740.0...
2024-07-25 11:15:29,364 - [INFO] date 118, asset 27, trade_value -111804.0...
2024-07-25 11:15:29,364 - [INFO] date 118, asset 33, trade_value -103096.0...
2024-07-25 11:15:29,365 - [INFO] date 118, asset 1, trade_value 112072.36970000001
2024-07-25 11:15:29,365 - [INFO] date 118, asset 4, trade_value 112072.36970000001
2024-07-25 11:15:29,365 - [INFO] date 118, asset 7, trade_value 112072.36970000001
2024-07-25 11:15:29,365 - [INFO] date 118, asset 10, trade_value 112072.36970000001
2024-07-25 11:15:29,366 - [INFO] date 118, asset 15, trade_value 112072.36970000001
2024-07-25 11:15:29,366 - [INFO] date 118, asset 21, trade_value 112072.36970000001
2024-07-25 11:15:29,366 - [INFO] date 118, asset 23, trade_value 112072.36970000001
2024-07-25 11:15:29,366 - [INFO] date 118, asset 24, trade_value 112072.36970000001
2024-07-25 11:15:29,367 - [INFO] date 118, asset 32, trade_value 112072.36970000001
2024-07-25 11:15:29,367 - [WARNIG] date 118, asset 34: only have cash of 100427.43850000016, partial traded!
2024-07-25 11:15:29,367 - [INFO] date 118, asset 34, trade_value 100427.43850000016
2024-07-25 11:15:29,375 - [INFO] date 140, asset 0, trade_value -1437.0...
2024-07-25 11:15:29,375 - [INFO] date 140, asset 1, trade_value -1024.2749999999796...
2024-07-25 11:15:29,375 - [INFO] date 140, asset 3, trade_value -5520.0...
2024-07-25 11:15:29,376 - [INFO] date 140, asset 4, trade_value -1651.2749999999796...
2024-07-25 11:15:29,376 - [INFO] date 140, asset 5, trade_value -11016.0...
2024-07-25 11:15:29,377 - [INFO] date 140, asset 11, trade_value -1665.0...
2024-07-25 11:15:29,377 - [INFO] date 140, asset 12, trade_value -1186.0...
2024-07-25 11:15:29,377 - [INFO] date 140, asset 15, trade_value -15440.27499999998...
2024-07-25 11:15:29,378 - [INFO] date 140, asset 16, trade_value -735.0...
2024-07-25 11:15:29,378 - [INFO] date 140, asset 18, trade_value -3677.0000000000005...
2024-07-25 11:15:29,378 - [INFO] date 140, asset 20, trade_value -6695.999999999999...
2024-07-25 11:15:29,378 - [INFO] date 140, asset 24, trade_value -711.2749999999796...
2024-07-25 11:15:29,379 - [INFO] date 140, asset 25, trade_value -1950.0...
2024-07-25 11:15:29,379 - [INFO] date 140, asset 27, trade_value -1864.0...
2024-07-25 11:15:29,379 - [INFO] date 140, asset 33, trade_value -2262.0...
2024-07-25 11:15:29,380 - [INFO] date 140, asset 7, trade_value 8858.72500000002
2024-07-25 11:15:29,380 - [INFO] date 140, asset 10, trade_value 15269.72500000002
2024-07-25 11:15:29,380 - [INFO] date 140, asset 21, trade_value 7078.72500000002
2024-07-25 11:15:29,380 - [INFO] date 140, asset 23, trade_value 7951.72500000002
2024-07-25 11:15:29,381 - [INFO] date 140, asset 32, trade_value 5125.72500000002
2024-07-25 11:15:29,381 - [WARNIG] date 140, asset 34: only have cash of 5050.774000000166, partial traded!
2024-07-25 11:15:29,381 - [INFO] date 140, asset 34, trade_value 5050.774000000166
2024-07-25 11:15:29,389 - [INFO] date 163, asset 5, trade_value -5550.0...
2024-07-25 11:15:29,390 - [INFO] date 163, asset 7, trade_value -11644.758199999997...
2024-07-25 11:15:29,390 - [INFO] date 163, asset 12, trade_value -1128.0...
2024-07-25 11:15:29,390 - [INFO] date 163, asset 15, trade_value -1870.758199999982...
2024-07-25 11:15:29,391 - [INFO] date 163, asset 21, trade_value -3814.7581999999966...
