trade_date,pnl,mktv,cash,trade_value,booksize
20190305,136611.0,1130999.0,5114.806000000146,0.0,1136113.806
20190306,145464.0,1139852.0,5114.806000000146,0.0,1144966.806
20190307,129844.00000000003,1124232.0,5114.806000000146,0.0,1129346.806
20190308,77660.0,1072048.0,5114.806000000146,0.0,1077162.806
20190311,89241.00000000001,1083629.0,5114.806000000146,0.0,1088743.806
20190312,100809.00000000001,1095197.0,5114.806000000146,0.0,1100311.806
20190313,94181.00000000003,1088569.0,5114.806000000146,0.0,1093683.806
20190314,95032.00000000006,1089420.0,5114.806000000146,0.0,1094534.806
20190315,98749.00000000003,1093137.0,5114.806000000146,0.0,1098251.806
20190318,120830.00000000004,1115218.0,5114.806000000146,0.0,1120332.806
20190319,116150.00000000003,1110538.0,5114.806000000146,0.0,1115652.806
20190320,117303.00000000003,1111691.0,5114.806000000146,0.0,1116805.806
20190321,109550.00000000006,1103938.0,5114.806000000146,0.0,1109052.806
20190322,104146.00000000006,1098534.0,5114.806000000146,0.0,1103648.806
20190325,71987.00000000001,1066375.0,5114.806000000146,0.0,1071489.806
20190326,61657.00000000003,1056045.0,5114.806000000146,0.0,1061159.806
20190327,71449.99999999999,1065838.0,5114.806000000146,0.0,1070952.806
20190328,65907.00000000001,1060295.0,5114.806000000146,0.0,1065409.806
20190329,98831.00000000004,1093219.0,5114.806000000146,0.0,1098333.806
20190401,123276.00000000001,1009385.0,113447.94550000012,-108278.99999999999,1122832.9455000001
20190402,128878.00000000001,1014987.0,113447.94550000012,0.0,1128434.9455000001
20190403,143553.0,1029662.0,113447.94550000012,0.0,1143109.9455000001
20190404,164333.0,1050442.0,113447.94550000012,0.0,1163889.9455000001
20190408,175353.00000000003,1061462.0,113447.94550000012,0.0,1174909.9455000001
20190409,166438.00000000003,1052547.0,113447.94550000012,0.0,1165994.9455000001
20190410,166581.0,1052690.0,113447.94550000012,0.0,1166137.9455000001
20190411,140563.0,1026672.0,113447.94550000012,0.0,1140119.9455000001
20190412,135741.0,1021850.0,113447.94550000012,0.0,1135297.9455000001
20190415,135890.00000000003,1021999.0,113447.94550000012,0.0,1135446.9455000001
20190416,172033.0,1058142.0,113447.94550000012,0.0,1171589.9455000001
20190417,171184.0,1057293.0,113447.94550000012,0.0,1170740.9455000001
20190418,164824.00000000003,1050933.0,113447.94550000012,0.0,1164380.9455000001
20190419,178853.00000000006,1064962.0,113447.94550000012,0.0,1178409.9455000001
20190422,144379.00000000003,1030488.0,113447.94550000012,0.0,1143935.9455000001
20190423,141226.00000000006,1027335.0,113447.94550000012,0.0,1140782.9455000001
20190424,148061.0,1034170.0,113447.94550000012,0.0,1147617.9455000001
20190425,124324.00000000006,1010433.0,113447.94550000012,0.0,1123880.9455000001
20190426,101799.00000000001,987908.0,113447.94550000012,0.0,1101355.9455000001
20190429,112653.0,998762.0,113447.94550000012,0.0,1112209.9455000001
20190430,119593.00000000006,1118706.0,387.44350000014373,113004.0,1119093.4435
20190506,61946.00000000004,1061059.0,387.44350000014373,0.0,1061446.4435
20190507,76084.00000000001,1075197.0,387.44350000014373,0.0,1075584.4435
20190508,59287.00000000004,1058400.0,387.44350000014373,0.0,1058787.4435
20190509,40609.0,1039722.0,387.44350000014373,0.0,1040109.4435000002
20190510,71932.00000000001,1071045.0,387.44350000014373,0.0,1071432.4435
